"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
1213000;"Powiat oświęcimski";19293;23570;37631;40825;45767;33843;52821;40946;36229;40424;56653;73788;37994;90317;;
1214000;"Powiat proszowicki";0;9684;9613;13341;8610;14545;24270;14637;9298;8115;15034;14829;11418;12883;;
1215000;"Powiat suski";22382;13758;17144;14791;27286;22030;15859;17709;17153;17382;20719;23840;20112;23161;;
1216000;"Powiat tarnowski";30785;46322;32890;48155;23265;30557;66454;48484;38489;56320;40966;40288;34146;59736;;
1217000;"Powiat tatrzański";4083;18790;28299;19214;23158;18993;29531;16096;23011;32439;34505;19586;23244;41764;;
1218000;"Powiat wadowicki";22453;29937;31101;37970;42052;36337;27031;48514;47337;33599;35244;43120;31341;74492;;
1219000;"Powiat wielicki";24177;39174;47355;34988;34854;33424;52177;35461;52520;35112;60971;50191;103775;84764;;
1261000;"Powiat m.Kraków";163993;163010;186267;176537;437845;252929;235475;259346;369972;459887;250979;274854;293491;273825;;
1262000;"Powiat m.Nowy Sącz";17622;25415;45126;33247;50250;20215;61876;54562;114422;28279;18727;22792;55044;34289;;
1263000;"Powiat m.Tarnów";30507;35356;31548;45001;49132;126619;41180;40743;37121;13719;49317;50838;31841;41155;;
1401000;"Powiat białobrzeski";6117;17623;9992;12833;9806;12599;8741;13349;14397;14849;22656;11017;41261;14173;;
1402000;"Powiat ciechanowski";10707;29941;49057;51705;35608;45332;33341;37147;74210;56260;26831;78812;48249;43955;;
1403000;"Powiat garwoliński";15733;33517;43121;78530;29393;47430;62474;50041;42053;33414;35391;35319;45991;67690;;
1404000;"Powiat gostyniński";14725;14187;15343;22216;19463;11277;15430;21248;16306;21982;27762;18994;19749;11452;;
1405000;"Powiat grodziski";44411;41124;30371;29246;76082;10901;20842;20955;24647;23065;23380;24723;120055;40419;;
1406000;"Powiat grójecki";61461;23371;28861;22560;48490;20638;31990;47162;50849;147239;44173;80857;60510;52303;;
1407000;"Powiat kozienicki";10539;9446;15968;10892;10488;11834;15656;15360;20489;9541;12503;4659;10562;17738;;
1408000;"Powiat legionowski";10686;36870;23122;28521;29589;33171;14205;73223;26931;12322;34521;26223;15848;15841;;
1409000;"Powiat lipski";6939;6617;8362;9018;6797;12691;24582;4914;9400;11887;8231;13954;5496;2933;;
1410000;"Powiat łosicki";2863;15773;15891;24742;19615;15667;20337;28108;19686;37022;41905;84571;61122;31473;;
1411000;"Powiat makowski";18257;17236;24732;14283;16567;11213;15236;28210;26919;20024;10276;8660;14687;14090;;
