"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
2262000;"Powiat m.Gdynia";2;2;0;0;0;0;0;0;0;0;0;
2263000;"Powiat m.Słupsk";0;0;1;1;0;0;0;0;1;0;0;
2401000;"Powiat będziński";1;0;0;0;1;0;1;0;0;0;2;
2402000;"Powiat bielski";0;0;0;1;1;0;1;1;0;0;0;
2403000;"Powiat cieszyński";0;1;1;0;0;0;1;0;0;0;0;
2404000;"Powiat częstochowski";1;0;0;1;2;1;0;0;0;0;0;
2405000;"Powiat gliwicki";1;0;0;1;0;0;0;0;0;0;0;
2408000;"Powiat mikołowski";0;1;0;0;0;0;0;0;0;0;0;
2409000;"Powiat myszkowski";0;0;0;0;1;0;0;0;0;0;0;
2411000;"Powiat raciborski";1;0;0;1;0;0;0;0;0;0;0;
2413000;"Powiat tarnogórski";1;3;0;0;0;0;0;1;1;0;1;
2415000;"Powiat wodzisławski";0;0;1;0;1;0;0;1;0;0;0;
2416000;"Powiat zawierciański";0;1;1;0;0;0;0;0;0;0;0;
2417000;"Powiat żywiecki";0;0;0;1;1;2;1;1;0;0;0;
2461000;"Powiat m.Bielsko-Biała";1;2;0;1;1;1;0;1;0;0;0;
2462000;"Powiat m.Bytom";1;0;1;1;0;1;0;0;0;0;0;
2463000;"Powiat m.Chorzów";0;1;0;1;0;0;0;0;0;0;0;
2464000;"Powiat m.Częstochowa";1;0;0;1;1;1;0;0;0;0;1;
2465000;"Powiat m.Dąbrowa Górnicza";0;0;1;2;0;0;0;0;0;0;0;
2466000;"Powiat m.Gliwice";2;1;1;1;0;0;0;0;0;0;0;
2467000;"Powiat m.Jastrzębie-Zdrój";0;0;2;0;0;0;0;0;0;0;0;
2469000;"Powiat m.Katowice";0;0;1;0;0;1;0;1;0;0;0;
2470000;"Powiat m.Mysłowice";1;0;0;0;0;0;1;0;0;0;0;
2471000;"Powiat m.Piekary Śląskie";0;0;1;0;0;0;0;0;0;0;0;
2472000;"Powiat m.Ruda Śląska";0;1;3;0;1;0;0;0;0;0;0;
2473000;"Powiat m.Rybnik";0;0;1;1;1;0;0;0;0;0;0;
2474000;"Powiat m.Siemianowice Śląskie";1;0;0;0;0;0;0;0;0;0;0;
2475000;"Powiat m.Sosnowiec";0;0;1;3;1;0;0;0;0;1;0;
2476000;"Powiat m.Świętochłowice";0;0;0;0;0;1;0;0;0;0;0;
2477000;"Powiat m.Tychy";0;0;1;1;0;0;0;0;0;0;0;
2478000;"Powiat m.Zabrze";0;1;0;0;0;0;0;0;0;0;0;
2479000;"Powiat m.Żory";1;1;0;0;0;0;0;0;0;0;0;
2601000;"Powiat buski";2;0;0;0;0;0;0;0;0;0;0;
2602000;"Powiat jędrzejowski";0;0;0;1;0;0;0;0;0;1;0;
2603000;"Powiat kazimierski";0;0;0;0;0;0;1;0;0;0;0;
2604000;"Powiat kielecki";2;0;0;1;2;1;0;1;0;0;0;
2605000;"Powiat konecki";1;0;0;1;0;0;0;0;0;0;0;
2606000;"Powiat opatowski";0;0;0;1;0;2;0;0;0;0;0;
2609000;"Powiat sandomierski";0;0;0;0;0;0;2;0;0;0;0;
2612000;"Powiat staszowski";0;1;0;0;0;0;0;0;0;0;0;
2613000;"Powiat włoszczowski";0;0;0;0;0;1;0;0;0;0;0;
