"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";
0607000;"Powiat kraśnicki";143;147;154;170;184;201;205;211;233;244;216;
0608000;"Powiat lubartowski";130;135;146;152;159;173;188;190;205;234;228;
0609000;"Powiat lubelski";333;345;373;407;429;476;517;531;588;637;614;
0610000;"Powiat łęczyński";113;120;126;136;143;152;154;155;158;164;133;
0611000;"Powiat łukowski";129;143;164;183;191;196;210;218;247;283;276;
0612000;"Powiat opolski";102;99;100;107;120;129;137;142;144;146;126;
0613000;"Powiat parczewski";62;67;70;73;76;82;85;89;96;99;76;
0614000;"Powiat puławski";338;347;373;381;404;426;450;456;503;527;477;
0615000;"Powiat radzyński";58;66;74;80;86;91;97;96;100;112;101;
0616000;"Powiat rycki";71;81;85;92;100;109;123;128;140;154;145;
0617000;"Powiat świdnicki";206;220;238;253;271;281;293;309;333;354;318;
0618000;"Powiat tomaszowski";156;168;175;184;195;212;217;221;227;237;208;
0619000;"Powiat włodawski";74;75;76;85;84;91;96;97;97;97;76;
0620000;"Powiat zamojski";117;118;123;135;151;165;172;176;183;194;169;
0661000;"Powiat m.Biała Podlaska";431;453;483;530;570;621;669;708;767;822;708;
0662000;"Powiat m.Chełm";355;368;386;390;409;435;463;480;534;565;464;
0663000;"Powiat m.Lublin";3742;3927;4175;4347;4701;5150;5543;5742;6308;6694;5754;
0664000;"Powiat m.Zamość";444;454;470;485;515;530;541;541;562;595;429;
0801000;"Powiat gorzowski";393;412;428;452;472;500;528;545;573;584;460;
0802000;"Powiat krośnieński";209;215;221;234;249;260;270;273;284;298;223;
0803000;"Powiat międzyrzecki";292;304;319;325;341;364;396;403;424;436;331;
0804000;"Powiat nowosolski";320;331;333;346;378;405;433;426;493;482;387;
0805000;"Powiat słubicki";457;470;472;503;525;549;580;581;602;595;447;
0806000;"Powiat strzelecko-drezdenecki";196;197;211;218;227;237;205;216;222;227;180;
0807000;"Powiat sulęciński";148;158;161;174;176;196;202;204;228;223;173;
0808000;"Powiat świebodziński";306;319;336;365;376;395;413;418;445;451;352;
0809000;"Powiat zielonogórski";420;435;473;511;534;576;607;428;467;482;419;
0810000;"Powiat żagański";269;274;280;300;321;340;358;368;405;416;318;
0811000;"Powiat żarski";550;561;579;592;608;640;645;660;677;662;425;
0812000;"Powiat wschowski";128;139;139;150;167;178;187;188;192;186;152;
0861000;"Powiat m.Gorzów Wielkopolski";1307;1387;1462;1515;1635;1762;1847;1893;2031;2096;1625;
0862000;"Powiat m.Zielona Góra";1710;1791;1876;2003;2170;2399;2656;2946;3154;3288;2618;
1001000;"Powiat bełchatowski";309;316;331;343;360;386;408;436;460;490;463;
1002000;"Powiat kutnowski";330;340;355;361;394;417;445;484;513;534;443;
1003000;"Powiat łaski";131;143;150;152;162;177;188;191;192;201;175;
1004000;"Powiat łęczycki";99;103;102;102;108;114;121;127;131;139;114;
1005000;"Powiat łowicki";180;183;188;193;196;217;232;235;253;256;220;
