"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
0410000;"Powiat nakielski";13;7;11;10;11;11;12;2;1;1;0;
0411000;"Powiat radziejowski";4;1;1;6;3;2;2;1;1;0;0;
0412000;"Powiat rypiński";3;5;10;5;18;10;12;0;0;0;0;
0413000;"Powiat sępoleński";2;6;3;6;6;11;3;3;0;1;0;
0414000;"Powiat świecki";19;6;16;19;20;20;24;2;4;2;1;
0415000;"Powiat toruński";12;25;17;51;32;48;51;2;3;4;1;
0416000;"Powiat tucholski";4;3;4;2;7;10;3;1;0;0;0;
0417000;"Powiat wąbrzeski";5;2;9;12;5;3;7;0;0;0;0;
0418000;"Powiat włocławski";6;10;10;20;18;16;8;2;1;1;1;
0419000;"Powiat żniński";7;9;8;12;12;22;31;0;1;0;1;
0461000;"Powiat m.Bydgoszcz";173;145;194;214;242;272;304;59;44;18;22;
0462000;"Powiat m.Grudziądz";13;12;8;24;33;37;26;4;4;0;3;
0463000;"Powiat m.Toruń";92;154;174;188;211;268;239;27;18;15;20;
0464000;"Powiat m.Włocławek";19;23;31;26;60;45;48;6;5;1;0;
0601000;"Powiat bialski";20;9;19;23;23;37;24;1;0;0;0;
0602000;"Powiat biłgorajski";3;8;20;12;13;15;17;2;0;1;1;
0603000;"Powiat chełmski";1;5;3;4;8;9;5;1;0;0;1;
0604000;"Powiat hrubieszowski";3;3;2;4;7;11;5;1;1;0;0;
0605000;"Powiat janowski";2;8;5;0;9;6;4;1;0;0;1;
0606000;"Powiat krasnostawski";3;7;2;8;2;5;3;0;0;0;1;
0607000;"Powiat kraśnicki";1;7;13;15;18;16;4;0;0;0;1;
0608000;"Powiat lubartowski";6;7;7;5;7;16;17;0;0;1;1;
0609000;"Powiat lubelski";22;15;30;29;38;47;45;4;1;1;1;
0610000;"Powiat łęczyński";8;7;5;9;6;9;4;0;0;0;0;
0611000;"Powiat łukowski";3;13;15;19;12;16;18;1;1;0;5;
0612000;"Powiat opolski";2;0;2;5;14;8;8;1;0;0;0;
0613000;"Powiat parczewski";1;2;5;5;2;4;4;0;0;0;0;
0614000;"Powiat puławski";12;17;24;14;22;28;40;2;6;0;3;
0615000;"Powiat radzyński";1;7;6;5;5;6;7;0;0;0;0;
0616000;"Powiat rycki";3;8;5;6;6;11;10;0;0;1;0;
0617000;"Powiat świdnicki";6;14;16;14;16;16;16;1;1;1;3;
0618000;"Powiat tomaszowski";4;9;9;10;11;19;13;3;1;1;0;
0619000;"Powiat włodawski";1;2;3;7;1;7;7;0;0;0;1;
0620000;"Powiat zamojski";2;3;7;11;16;13;11;0;0;0;3;
0661000;"Powiat m.Biała Podlaska";28;26;42;52;46;48;51;0;0;0;0;
0662000;"Powiat m.Chełm";15;16;22;17;23;30;30;5;1;0;0;
0663000;"Powiat m.Lublin";174;242;309;246;393;477;425;56;30;16;20;
0664000;"Powiat m.Zamość";18;18;20;24;38;23;16;2;1;3;0;
0801000;"Powiat gorzowski";19;26;16;29;23;32;31;8;3;2;7;
0802000;"Powiat krośnieński";6;3;5;11;21;15;9;0;0;0;0;
0803000;"Powiat międzyrzecki";17;9;18;13;18;26;30;3;1;0;2;
0804000;"Powiat nowosolski";14;12;11;14;31;33;23;0;36;0;1;
0805000;"Powiat słubicki";12;20;17;32;27;30;31;1;1;1;1;
0806000;"Powiat strzelecko-drezdenecki";11;7;13;7;12;14;7;4;0;1;0;
0807000;"Powiat sulęciński";13;9;7;14;3;18;7;1;0;0;0;
0808000;"Powiat świebodziński";20;20;18;40;12;22;14;1;1;1;0;
0809000;"Powiat zielonogórski";20;18;37;43;32;43;35;4;1;0;3;
0810000;"Powiat żagański";14;10;12;21;28;19;24;1;2;0;0;
0811000;"Powiat żarski";8;13;25;17;32;31;17;1;3;0;0;
0812000;"Powiat wschowski";7;8;8;16;11;17;9;2;0;0;0;
0861000;"Powiat m.Gorzów Wielkopolski";76;78;95;91;114;149;118;41;26;12;7;
0862000;"Powiat m.Zielona Góra";103;106;124;162;200;283;313;31;9;5;5;
1001000;"Powiat bełchatowski";16;10;21;21;21;32;21;24;25;33;25;
1002000;"Powiat kutnowski";13;11;17;12;27;27;30;37;28;22;11;
1003000;"Powiat łaski";12;9;9;10;14;18;9;7;8;12;12;
1004000;"Powiat łęczycki";7;4;3;6;3;8;4;4;8;5;6;
1005000;"Powiat łowicki";6;6;6;6;10;24;13;6;17;8;15;
1006000;"Powiat łódzki wschodni";19;24;36;24;32;32;37;38;49;41;28;
1007000;"Powiat opoczyński";8;3;6;13;4;9;11;9;7;4;9;
1008000;"Powiat pabianicki";38;48;38;44;51;87;72;76;69;72;54;
1009000;"Powiat pajęczański";6;8;3;7;4;8;8;2;6;9;10;
1010000;"Powiat piotrkowski";12;7;9;14;13;25;19;23;12;16;11;
1011000;"Powiat poddębicki";1;6;7;2;8;11;5;5;12;10;6;
1012000;"Powiat radomszczański";17;15;27;17;22;35;32;37;30;45;23;
1013000;"Powiat rawski";4;14;11;9;9;11;11;4;11;9;12;
1014000;"Powiat sieradzki";13;11;15;16;19;30;37;19;48;31;20;
1015000;"Powiat skierniewicki";2;3;3;2;9;7;12;6;7;12;5;
1016000;"Powiat tomaszowski";12;17;18;26;33;29;39;30;41;34;41;
1017000;"Powiat wieluński";10;7;17;11;15;17;26;21;30;19;19;
1018000;"Powiat wieruszowski";7;6;3;8;5;12;10;7;12;8;7;
1019000;"Powiat zduńskowolski";11;15;16;17;11;23;22;10;18;13;17;
1020000;"Powiat zgierski";38;22;37;43;54;68;78;70;71;59;45;
1021000;"Powiat brzeziński";2;5;3;12;5;17;7;7;17;10;6;
1061000;"Powiat m.Łódź";396;454;533;555;727;887;809;881;845;818;647;
1062000;"Powiat m.Piotrków Trybunalski";26;23;41;18;28;40;25;32;31;32;23;
1063000;"Powiat m.Skierniewice";8;7;9;14;19;24;18;15;18;23;16;
1201000;"Powiat bocheński";14;16;11;21;32;35;31;4;1;0;1;
1202000;"Powiat brzeski";8;7;8;9;15;31;23;4;0;0;0;
1203000;"Powiat chrzanowski";21;17;34;33;30;62;55;3;3;3;1;
1204000;"Powiat dąbrowski";2;3;2;4;6;4;9;0;3;0;0;
1205000;"Powiat gorlicki";9;9;10;12;26;22;27;3;3;3;0;
1206000;"Powiat krakowski";72;63;120;110;130;196;166;10;5;9;5;
1207000;"Powiat limanowski";10;9;14;10;16;19;16;2;0;2;1;
1208000;"Powiat miechowski";5;3;10;7;6;10;13;1;2;0;0;
1209000;"Powiat myślenicki";18;17;17;33;42;49;40;3;1;0;1;
1210000;"Powiat nowosądecki";19;26;22;40;39;55;39;5;0;3;3;
1211000;"Powiat nowotarski";19;14;15;19;30;37;47;2;0;1;3;
1212000;"Powiat olkuski";9;19;28;24;21;25;32;1;1;0;1;
1213000;"Powiat oświęcimski";18;45;164;143;92;63;133;17;0;0;1;
1214000;"Powiat proszowicki";3;0;8;5;6;14;15;1;0;1;0;
1215000;"Powiat suski";5;15;3;13;12;15;10;1;1;1;0;
1216000;"Powiat tarnowski";14;17;15;10;16;34;37;4;0;3;1;
1217000;"Powiat tatrzański";23;24;18;37;31;26;35;3;1;3;1;
1218000;"Powiat wadowicki";18;19;19;32;41;106;52;4;0;0;2;
1219000;"Powiat wielicki";23;31;33;64;58;90;76;6;5;2;2;
1261000;"Powiat m.Kraków";866;992;1279;1446;1945;2126;1913;217;106;70;54;
1262000;"Powiat m.Nowy Sącz";28;42;43;49;56;72;83;14;1;4;8;
1263000;"Powiat m.Tarnów";29;28;53;49;61;71;84;12;6;5;6;
1401000;"Powiat białobrzeski";7;20;22;6;26;9;21;0;0;1;0;
1402000;"Powiat ciechanowski";10;22;10;11;10;27;20;2;1;1;0;
1403000;"Powiat garwoliński";17;13;16;10;13;23;13;0;2;1;0;
1404000;"Powiat gostyniński";4;1;10;6;5;13;9;2;0;0;3;
1405000;"Powiat grodziski";31;42;62;60;57;99;110;5;3;2;3;
1406000;"Powiat grójecki";18;31;33;35;32;47;36;3;2;2;4;
1407000;"Powiat kozienicki";11;8;1;6;2;11;5;0;0;1;0;
1408000;"Powiat legionowski";36;58;53;57;82;115;73;6;3;4;4;
1409000;"Powiat lipski";1;1;1;4;6;4;1;0;0;0;1;
1410000;"Powiat łosicki";1;7;5;4;4;8;2;1;0;0;0;
1411000;"Powiat makowski";5;2;4;14;2;11;6;0;1;0;0;
1412000;"Powiat miński";29;31;39;37;41;47;49;4;2;1;1;
1413000;"Powiat mławski";11;10;19;15;17;14;19;1;1;5;2;
1414000;"Powiat nowodworski";14;24;39;34;39;33;33;3;1;0;1;
1415000;"Powiat ostrołęcki";3;2;6;2;6;16;4;0;0;0;1;
1416000;"Powiat ostrowski";3;4;17;7;18;14;13;3;3;1;0;
1417000;"Powiat otwocki";24;44;68;62;66;92;80;6;4;2;3;
1418000;"Powiat piaseczyński";344;343;404;422;431;500;466;75;30;17;26;
1419000;"Powiat płocki";11;9;15;13;17;32;26;4;0;2;1;
1420000;"Powiat płoński";10;13;18;15;15;27;21;1;0;1;1;
1421000;"Powiat pruszkowski";174;132;166;146;180;222;213;14;9;11;10;
1422000;"Powiat przasnyski";4;3;3;9;8;7;5;0;0;1;0;
1423000;"Powiat przysuski";3;0;2;3;3;4;5;0;0;0;0;
1424000;"Powiat pułtuski";6;5;5;6;10;13;18;1;0;0;0;
1425000;"Powiat radomski";15;14;11;18;26;20;29;7;3;2;1;
1426000;"Powiat siedlecki";5;11;10;11;11;24;11;1;0;2;0;
